sheet,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
Year 2009-2010,491035,20658,RED SPOTTY LUGGAGE TAG,12,2009-12-09 08:58:00,1.25,13455.0,United Kingdom
Year 2009-2010,491041,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2009-12-09 09:42:00,6.04,,United Kingdom
Year 2009-2010,491051,21680,WOODLAND  STICKERS,12,2009-12-09 10:46:00,0.85,14291.0,United Kingdom
Year 2009-2010,491061,22310,KNITTED MUG COSY IVORY COLOUR ,6,2009-12-09 11:40:00,1.65,13672.0,United Kingdom
Year 2009-2010,491077,21931,JUMBO STORAGE BAG SUKI,2,2009-12-09 12:57:00,1.95,14593.0,United Kingdom
Year 2009-2010,C491080,85232B,SET/3 RUSSIAN DOLL STACKING TINS,-2,2009-12-09 13:07:00,4.95,14593.0,United Kingdom
Year 2009-2010,491123,22271,FELTCRAFT DOLL ROSIE,3,2009-12-09 15:20:00,2.95,17043.0,United Kingdom
Year 2009-2010,491133,16014,SMALL CHINESE STYLE SCISSOR,1500,2009-12-09 16:17:00,0.32,13848.0,United Kingdom
Year 2009-2010,491146,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2009-12-09 17:26:00,2.95,15209.0,United Kingdom
Year 2009-2010,491170,21889,WOODEN BOX OF DOMINOES,6,2009-12-10 11:27:00,1.25,17861.0,United Kingdom
Year 2009-2010,491235,85129D,BEADED CRYSTAL HEART PINK SMALL,12,2009-12-10 14:46:00,1.25,15623.0,United Kingdom
Year 2009-2010,491394,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,2009-12-10 16:21:00,1.25,15916.0,United Kingdom
Year 2009-2010,491397,20692,FLORAL ELEPHANT SOFT TOY,1,2009-12-10 16:39:00,4.25,12933.0,United Kingdom
Year 2009-2010,491397,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,2009-12-10 16:39:00,3.75,12933.0,United Kingdom
Year 2009-2010,C491409,21326,AGED GLASS SILVER T-LIGHT HOLDER,-1,2009-12-10 18:48:00,0.65,14211.0,United Kingdom
Year 2009-2010,491443,37500,TEA TIME TEAPOT IN GIFT BOX,1,2009-12-11 10:37:00,9.95,15311.0,United Kingdom
Year 2009-2010,491449,22120,WELCOME  WOODEN BLOCK LETTERS,12,2009-12-11 10:58:00,8.5,17230.0,United Kingdom
Year 2009-2010,491634,22083,PAPER CHAIN KIT RETRO SPOT,2,2009-12-11 15:40:00,2.95,17841.0,United Kingdom
Year 2009-2010,491648,22312,OFFICE MUG WARMER POLKADOT,12,2009-12-13 09:58:00,4.95,17243.0,United Kingdom
Year 2009-2010,491674,20772,GARDEN PATH JOURNAL,18,2009-12-13 12:04:00,0.85,17593.0,United Kingdom
Year 2009-2010,491690,21479,WHITE SKULL HOT WATER BOTTLE ,4,2009-12-13 13:09:00,3.75,13206.0,United Kingdom
Year 2009-2010,491717,85097B,BLUE ROCKING SINGING CANARY,1,2009-12-13 15:54:00,3.75,16725.0,United Kingdom
Year 2009-2010,491721,84469,ROSE DES PADDED FLOOR CUSHION,1,2009-12-13 16:05:00,6.95,14898.0,United Kingdom
Year 2009-2010,491725,TEST001,This is a test product.,10,2009-12-14 08:34:00,4.5,12346.0,United Kingdom
Year 2009-2010,491736,22083,PAPER CHAIN KIT RETRO SPOT,6,2009-12-14 10:34:00,2.95,13013.0,United Kingdom
Year 2009-2010,491744,TEST001,This is a test product.,5,2009-12-14 11:02:00,4.5,12346.0,United Kingdom
Year 2009-2010,491747,20685,RED SPOTTY COIR DOORMAT,2,2009-12-14 11:24:00,6.75,17075.0,United Kingdom
Year 2009-2010,491812,21040,MODERN VINTAGE COTTON SHOPPING BAG,288,2009-12-14 13:23:00,0.85,13694.0,United Kingdom
Year 2009-2010,491813,21851,LILAC DIAMANTE PEN IN GIFT BOX,126,2009-12-14 13:27:00,1.25,13694.0,United Kingdom
Year 2009-2010,491894,35004S,SET OF 3 SILVER FLYING DUCKS,24,2009-12-14 15:18:00,1.95,14062.0,United Kingdom
Year 2009-2010,491960,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,6,2009-12-14 16:29:00,5.95,17416.0,United Kingdom
Year 2009-2010,491967,22143,CHRISTMAS CRAFT HEART DECORATIONS,1,2009-12-14 17:34:00,2.1,17012.0,United Kingdom
Year 2009-2010,491968,gift_0001_80,nan,2,2009-12-14 17:56:00,0.0,,United Kingdom
Year 2009-2010,491969,gift_0001_80,Dotcomgiftshop Gift Voucher £80.00,1,2009-12-14 17:57:00,69.56,,United Kingdom
Year 2009-2010,491971,gift_0001_20,Dotcomgiftshop Gift Voucher £20.00,2,2009-12-14 18:37:00,17.39,,United Kingdom
Year 2009-2010,491982,21544,SKULLS  WATER TRANSFER TATTOOS ,27,2009-12-15 09:40:00,0.85,16098.0,United Kingdom
Year 2009-2010,491990,C2,nan,100,2009-12-15 10:06:00,0.0,,United Kingdom
Year 2009-2010,491997,90185B,AMETHYST DIAMANTE EXPANDABLE RING,9,2009-12-15 11:06:00,4.25,17852.0,United Kingdom
Year 2009-2010,492005,79323W, WHITE CHERRY LIGHTS,48,2009-12-15 11:25:00,5.45,14607.0,United Kingdom
Year 2009-2010,492009,21484,CHICK GREY HOT WATER BOTTLE,2,2009-12-15 11:28:00,3.45,14871.0,United Kingdom
Year 2009-2010,492017,20685,RED SPOTTY COIR DOORMAT,10,2009-12-15 12:06:00,5.95,16210.0,United Kingdom
Year 2009-2010,492039,21737,SET 3 WICKER LOG BASKETS,8,2009-12-15 12:32:00,16.95,17095.0,United Kingdom
Year 2009-2010,492117,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2009-12-15 14:10:00,4.95,15808.0,United Kingdom
Year 2009-2010,492216,21275,ZINC TOP  2 DOOR WOODEN SHELF ,8,2009-12-15 17:25:00,3.95,15641.0,United Kingdom
Year 2009-2010,492247,22202,MILK PAN PINK RETROSPOT,4,2009-12-16 10:16:00,3.75,16736.0,United Kingdom
Year 2009-2010,492296,85141,JARDIN ETCHED GLASS FRUITBOWL,6,2009-12-16 11:53:00,10.75,14667.0,United Kingdom
Year 2009-2010,492312,85018B,S/6 PAPER BOXES BLOSSOM IMAGES ,1,2009-12-16 12:06:00,4.25,15184.0,United Kingdom
Year 2009-2010,492342,21627,ELEPHANT CARNIVAL POUFFE,1,2009-12-16 12:32:00,14.95,14527.0,United Kingdom
Year 2009-2010,492368,85231B,CINAMMON SET OF 9 T-LIGHTS,6,2009-12-16 14:08:00,0.85,14415.0,United Kingdom
Year 2009-2010,492374,22149,FELTCRAFT 6 FLOWER FRIENDS,4,2009-12-16 14:41:00,2.1,15984.0,United Kingdom
Year 2009-2010,492419,84942,KASHMIR FOLKART HEART DISHES,1,2009-12-16 17:34:00,1.69,14540.0,United Kingdom
Year 2009-2010,492421,21901,"KEY FOB , BACK DOOR ",1,2009-12-16 17:40:00,0.65,17402.0,United Kingdom
Year 2009-2010,492433,21756,BATH BUILDING BLOCK WORD,3,2009-12-17 10:08:00,5.95,17150.0,United Kingdom
Year 2009-2010,492437,21025,SPACE FROG,10,2009-12-17 10:27:00,1.25,13269.0,United Kingdom
Year 2009-2010,492445,22114,HOT WATER BOTTLE TEA AND SYMPATHY,24,2009-12-17 11:07:00,3.45,17230.0,United Kingdom
Year 2009-2010,492462,20716,PARTY FOOD SHOPPER BAG,10,2009-12-17 11:33:00,1.25,15862.0,United Kingdom
Year 2009-2010,492579,21272,SALLE DE BAIN HOOK,2,2009-12-17 14:38:00,1.25,15311.0,United Kingdom
Year 2009-2010,492707,37495,FAIRY CAKE BIRTHDAY CANDLE SET,1,2009-12-17 19:54:00,3.75,15879.0,United Kingdom
Year 2009-2010,492718,TEST001,This is a test product.,5,2009-12-18 10:47:00,4.5,12346.0,United Kingdom
Year 2009-2010,492722,TEST002,This is a test product.,1,2009-12-18 10:55:00,1.0,12346.0,United Kingdom
Year 2009-2010,492728,40002,WHITE BAMBOO RIBS LAMPSHADE,78,2009-12-18 11:18:00,0.85,15311.0,United Kingdom
Year 2009-2010,492742,84907,PINK/YELLOW PATCH CUSHION COVER,4,2009-12-18 12:33:00,7.65,12455.0,Cyprus
Year 2009-2010,492751,22121,NOEL WOODEN BLOCK LETTERS ,1,2009-12-18 13:46:00,5.95,15768.0,United Kingdom
Year 2009-2010,C492756,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,-1,2009-12-18 14:00:00,12.95,,United Kingdom
Year 2009-2010,492773,85227,SET/6 3D KIT CARDS FOR KIDS,12,2009-12-18 15:35:00,0.85,13327.0,United Kingdom
Year 2009-2010,492782,gift_0001_10,Dotcomgiftshop Gift Voucher £10.00,1,2009-12-18 17:06:00,8.69,,United Kingdom
Year 2009-2010,492783,gift_0001_50,Dotcomgiftshop Gift Voucher £50.00,1,2009-12-18 17:15:00,43.48,,United Kingdom
Year 2009-2010,492784,22135,LADLE LOVE HEART PINK,1,2009-12-18 17:24:00,0.42,17841.0,United Kingdom
Year 2009-2010,492798,85176,SEWING SUSAN 21 NEEDLE SET,3,2009-12-20 11:25:00,0.85,16011.0,United Kingdom
Year 2009-2010,492813,20990,SPRING FLOWER CHOPSTICKS SET/5,8,2009-12-20 13:14:00,1.95,17920.0,United Kingdom
Year 2009-2010,492820,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1,2009-12-20 14:40:00,2.95,14404.0,United Kingdom
Year 2009-2010,492823,22274,FELTCRAFT DOLL EMILY,6,2009-12-20 14:59:00,2.95,15358.0,United Kingdom
Year 2009-2010,492830,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,12,2009-12-20 15:38:00,3.75,12683.0,France
Year 2009-2010,493067,21223,SET/4 BADGES WOODLAND ANIMAL,1,2009-12-21 17:20:00,1.25,,United Kingdom
Year 2009-2010,493139,37444A,YELLOW BREAKFAST CUP AND SAUCER,2,2009-12-22 11:32:00,2.95,15311.0,United Kingdom
Year 2009-2010,493294,TEST002,nan,1,2009-12-22 15:15:00,0.0,,United Kingdom
Year 2009-2010,493393,20665,RED SPOTTY PURSE ,12,2009-12-23 13:00:00,2.95,12539.0,Spain
Year 2009-2010,493395,21741,COSY SLIPPER SHOES LARGE GREEN,12,2009-12-23 13:41:00,2.95,12539.0,Spain
Year 2009-2010,493404,gift_0001_30,Dotcomgiftshop Gift Voucher £30.00,1,2009-12-23 15:30:00,26.08,,United Kingdom
Year 2009-2010,493410,TEST001,This is a test product.,5,2010-01-04 09:24:00,4.5,12346.0,United Kingdom
Year 2009-2010,493435,21440,12 MINI TOADSTOOL PEGS,24,2010-01-04 12:57:00,1.25,13206.0,United Kingdom
Year 2009-2010,493446,47578A,ENGLISH ROSE SMALL SCENTED FLOWER,6,2010-01-04 14:00:00,0.85,17807.0,United Kingdom
Year 2009-2010,493543,20994,JAZZ HEARTS SPIRAL NOTEPAD,6,2010-01-04 16:29:00,0.85,14839.0,United Kingdom
Year 2009-2010,493571,48194,DOORMAT HEARTS,4,2010-01-05 10:07:00,6.75,14198.0,United Kingdom
Year 2009-2010,493685,21485,RED SPOT HEART HOT WATER BOTTLE,24,2010-01-05 12:43:00,4.25,14969.0,United Kingdom
Year 2009-2010,493700,21485,RED SPOT HEART HOT WATER BOTTLE,3,2010-01-05 13:45:00,4.95,14422.0,United Kingdom
Year 2009-2010,493819,22191,IVORY WALL CLOCK,60,2010-01-07 12:34:00,7.65,14156.0,EIRE
Year 2009-2010,493922,48173C,DOOR MAT BLACK FLOCK ,2,2010-01-08 11:13:00,6.75,13728.0,United Kingdom
Year 2009-2010,493965,21780,MA CAMPAGNE 4 DRAWER WALL SHELF,8,2010-01-08 16:34:00,5.0,14573.0,United Kingdom
Year 2009-2010,493976,21651,HANGING GLASS ETCHED TEALIGHT,12,2010-01-10 11:40:00,1.65,14849.0,United Kingdom
Year 2009-2010,493978,47566B,TEA TIME PARTY BUNTING,4,2010-01-10 11:55:00,4.65,17920.0,United Kingdom
Year 2009-2010,493978,21218,RED SPOTTY BISCUIT TIN,6,2010-01-10 11:55:00,3.75,17920.0,United Kingdom
Year 2009-2010,493990,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,2010-01-10 12:43:00,2.55,12951.0,United Kingdom
Year 2009-2010,494018,82567,"AIRLINE LOUNGE,METAL SIGN",4,2010-01-11 09:37:00,1.7,,United Kingdom
Year 2009-2010,494019,DOT,DOTCOM POSTAGE,1,2010-01-11 09:38:00,148.36,,United Kingdom
Year 2009-2010,494027,35924,HANGING FAIRY CAKE DECORATION,6,2010-01-11 10:14:00,2.1,17113.0,United Kingdom
Year 2009-2010,494110,22138,BAKING SET 9 PIECE RETROSPOT ,6,2010-01-11 12:29:00,4.95,12549.0,USA
Year 2009-2010,494144,20776,ABSTRACT CIRCLES NOTEBOOK,3,2010-01-11 14:35:00,1.66,,United Kingdom
Year 2009-2010,494229,20713,JUMBO BAG OWLS,20,2010-01-12 13:54:00,1.95,16779.0,United Kingdom
Year 2009-2010,494233,21889,WOODEN BOX OF DOMINOES,12,2010-01-12 14:33:00,1.25,15093.0,United Kingdom
Year 2009-2010,494235,48189,DOOR MAT FRIENDSHIP ,10,2010-01-12 15:02:00,5.95,14225.0,United Kingdom
Year 2009-2010,494269,84991,60 TEATIME FAIRY CAKE CASES,24,2010-01-13 08:58:00,0.55,12820.0,United Kingdom
Year 2009-2010,494272,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-01-13 09:53:00,0.42,15358.0,United Kingdom
Year 2009-2010,494351,M,Manual,1,2010-01-13 14:48:00,354.45,14277.0,France
Year 2009-2010,494359,84975,HEART SHAPED MIRROR,6,2010-01-13 15:24:00,1.69,17962.0,United Kingdom
Year 2009-2010,494386,22027,TEA PARTY BIRTHDAY CARD,2,2010-01-14 09:41:00,0.84,,United Kingdom
Year 2009-2010,494387,82605,OLD DOC.RUSSEL METAL SIGN,2,2010-01-14 09:46:00,1.66,,United Kingdom
Year 2009-2010,494443,21931,JUMBO STORAGE BAG SUKI,6,2010-01-14 13:03:00,1.95,15898.0,United Kingdom
Year 2009-2010,494445,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,6,2010-01-14 13:14:00,2.1,17850.0,United Kingdom
Year 2009-2010,494450,TEST001,This is a test product.,5,2010-01-14 13:50:00,4.5,12346.0,United Kingdom
Year 2009-2010,494471,21691,SILVER VANILLA FLOWER CANDLE POT,2,2010-01-14 14:48:00,3.75,13680.0,United Kingdom
Year 2009-2010,C494472,gift_0001_80,Dotcomgiftshop Gift Voucher £80.00,-1,2010-01-14 14:51:00,69.56,,United Kingdom
Year 2009-2010,494478,79067,CORONA MEXICAN TRAY,7,2010-01-14 15:41:00,3.75,14062.0,United Kingdom
Year 2009-2010,494480,47570B,TEA TIME TABLE CLOTH,2,2010-01-14 16:16:00,10.65,15768.0,United Kingdom
Year 2009-2010,494503,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,6,2010-01-14 18:56:00,2.1,17850.0,United Kingdom
Year 2009-2010,494514,20679,EDWARDIAN PARASOL RED,12,2010-01-15 10:14:00,4.95,17850.0,United Kingdom
Year 2009-2010,494591,POST,POSTAGE,1,2010-01-15 12:06:00,15.0,12789.0,Netherlands
Year 2009-2010,494608,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-01-15 12:51:00,2.55,17850.0,United Kingdom
Year 2009-2010,494645,22149,FELTCRAFT 6 FLOWER FRIENDS,5,2010-01-17 12:17:00,2.1,16017.0,United Kingdom
Year 2009-2010,494666,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2010-01-17 14:53:00,0.85,13869.0,United Kingdom
Year 2009-2010,494678,22348,TEA BAG PLATE RED SPOTTY ,288,2010-01-18 09:12:00,0.72,16684.0,United Kingdom
Year 2009-2010,494781,48187,DOOR MAT NEW ENGLAND,1,2010-01-18 13:12:00,6.75,,United Kingdom
Year 2009-2010,494784,85015,SET OF 12  VINTAGE POSTCARD SET,2,2010-01-18 13:20:00,2.51,,United Kingdom
Year 2009-2010,494784,85121B,RETRO LAUNDRY TUB PINK,1,2010-01-18 13:20:00,16.98,,United Kingdom
Year 2009-2010,494814,46775E,CANDY POP CHUNKY KNITTED THROW ,5,2010-01-19 09:05:00,11.02,,United Kingdom
Year 2009-2010,494875,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2010-01-19 12:31:00,1.45,17511.0,United Kingdom
Year 2009-2010,494888,21656,RIDGED GLASS POSY VASE ,36,2010-01-19 12:53:00,1.25,16027.0,United Kingdom
Year 2009-2010,494912,22050,PINK PAISLEY ROSE GIFT WRAP,25,2010-01-19 17:03:00,0.42,16705.0,United Kingdom
Year 2009-2010,494914,PADS,PADS TO MATCH ALL CUSHIONS,1,2010-01-19 17:04:00,0.001,16705.0,United Kingdom
Year 2009-2010,C494992,21534,DAIRY MAID LARGE MILK JUG,-1,2010-01-20 12:04:00,4.95,14290.0,United Kingdom
Year 2009-2010,C494992,21533,RETRO SPOT LARGE MILK JUG,-1,2010-01-20 12:04:00,4.95,14290.0,United Kingdom
Year 2009-2010,495058,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,2,2010-01-20 15:30:00,1.45,17875.0,United Kingdom
Year 2009-2010,495178,22258,FELT FARM ANIMAL RABBIT,6,2010-01-21 13:33:00,1.25,13735.0,United Kingdom
Year 2009-2010,495183,10002,INFLATABLE POLITICAL GLOBE ,12,2010-01-21 13:48:00,0.85,15296.0,United Kingdom
Year 2009-2010,495184,79341,WILLOW BRANCH LIGHTS.,1,2010-01-21 13:58:00,6.75,17841.0,United Kingdom
Year 2009-2010,495195,21626,VINTAGE UNION JACK PENNANT,12,2010-01-21 15:18:00,1.95,13089.0,United Kingdom
Year 2009-2010,495206,22147,FELTCRAFT BUTTERFLY HEARTS,5,2010-01-21 16:44:00,1.45,16126.0,United Kingdom
Year 2009-2010,495225,21232,STRAWBERRY CERAMIC TRINKET BOX,8,2010-01-21 17:43:00,1.25,17180.0,United Kingdom
Year 2009-2010,495244,22026,BANQUET BIRTHDAY  CARD  ,12,2010-01-22 10:51:00,0.42,15179.0,United Kingdom
Year 2009-2010,495307,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2010-01-22 14:13:00,2.95,16779.0,United Kingdom
Year 2009-2010,495312,84665,SQUARE CHERRY BLOSSOM CABINET,4,2010-01-22 14:22:00,5.95,16822.0,United Kingdom
Year 2009-2010,495367,20615,BLUE SPOTTY PASSPORT COVER,1,2010-01-24 12:27:00,2.1,14070.0,United Kingdom
Year 2009-2010,495369,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-01-24 12:31:00,7.95,13527.0,United Kingdom
Year 2009-2010,495387,84455,SET OF 3 RABBIT CARROTS EASTER,12,2010-01-24 14:57:00,0.85,13729.0,United Kingdom
Year 2009-2010,495404,20747,PICCADILLY TEA SET,18,2010-01-25 09:48:00,12.75,14439.0,Greece
Year 2009-2010,495406,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-01-25 09:54:00,11.02,,United Kingdom
Year 2009-2010,495409,22281,EASTER TREE YELLOW BIRDS,1,2010-01-25 10:26:00,5.95,17810.0,United Kingdom
Year 2009-2010,495443,84288B,SET/2 BLUE  NOODLE BASKETS,2,2010-01-25 11:53:00,1.95,,United Kingdom
Year 2009-2010,495488,C2,CARRIAGE,1,2010-01-25 12:19:00,50.0,14911.0,EIRE
Year 2009-2010,495510,84356,POMPOM CURTAIN,1,2010-01-25 14:01:00,6.95,17841.0,United Kingdom
Year 2009-2010,495531,21076,SET/20 COLLAGE PAPER NAPKIN ,2,2010-01-25 15:23:00,0.85,14606.0,United Kingdom
Year 2009-2010,495577,84971L,LARGE HEART FLOWERS HOOK   ,12,2010-01-26 09:45:00,1.25,13767.0,United Kingdom
Year 2009-2010,495677,85196,EASTER BUNNIES ON A STICK,12,2010-01-26 11:32:00,0.55,14211.0,United Kingdom
Year 2009-2010,495736,ADJUST,Adjustment by john on 26/01/2010 16,1,2010-01-26 16:23:00,21.0,12606.0,Spain
Year 2009-2010,C495737,ADJUST,Adjustment by john on 26/01/2010 16,-1,2010-01-26 16:23:00,10.5,16154.0,United Kingdom
Year 2009-2010,495748,ADJUST,Adjustment by john on 26/01/2010 16,1,2010-01-26 16:26:00,117.72,16291.0,Portugal
Year 2009-2010,495755,ADJUST,Adjustment by john on 26/01/2010 16,1,2010-01-26 16:29:00,342.8,14413.0,United Kingdom
Year 2009-2010,495773,ADJUST,Adjustment by john on 26/01/2010 16,1,2010-01-26 16:57:00,4.57,12600.0,Germany
Year 2009-2010,C495785,ADJUST,Adjustment by john on 26/01/2010 17,-1,2010-01-26 17:12:00,23.63,13468.0,United Kingdom
Year 2009-2010,495794,ADJUST,Adjustment by john on 26/01/2010 17,1,2010-01-26 17:22:00,41.09,12471.0,Germany
Year 2009-2010,C495796,ADJUST,Adjustment by john on 26/01/2010 17,-1,2010-01-26 17:24:00,15.76,14358.0,United Kingdom
Year 2009-2010,495798,ADJUST,Adjustment by john on 26/01/2010 17,1,2010-01-26 17:25:00,5117.03,,United Kingdom
Year 2009-2010,495804,21175,GIN + TONIC DIET METAL SIGN,1,2010-01-26 17:48:00,4.21,,United Kingdom
Year 2009-2010,495806,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2010-01-27 08:48:00,0.85,15073.0,United Kingdom
