cohort_month,months_since_acquisition,cohort_size,active_customers,retention_pct
2010-05-01,18,255,39,15.29
2010-05-01,19,255,12,4.71
2010-06-01,0,267,267,100.0
2010-06-01,1,267,47,17.6
2010-06-01,2,267,50,18.73
2010-06-01,3,267,55,20.6
2010-06-01,4,267,62,23.22
2010-06-01,5,267,76,28.46
2010-06-01,6,267,34,12.73
2010-06-01,7,267,24,8.99
2010-06-01,8,267,22,8.24
2010-06-01,9,267,30,11.24
2010-06-01,10,267,28,10.49
2010-06-01,11,267,37,13.86
2010-06-01,12,267,40,14.98
2010-06-01,13,267,33,12.36
2010-06-01,14,267,30,11.24
2010-06-01,15,267,33,12.36
2010-06-01,16,267,35,13.11
2010-06-01,17,267,54,20.22
2010-06-01,18,267,13,4.87
2010-07-01,0,185,185,100.0
2010-07-01,1,185,29,15.68
2010-07-01,2,185,34,18.38
2010-07-01,3,185,55,29.73
2010-07-01,4,185,54,29.19
2010-07-01,5,185,26,14.05
2010-07-01,6,185,21,11.35
2010-07-01,7,185,27,14.59
2010-07-01,8,185,27,14.59
2010-07-01,9,185,21,11.35
2010-07-01,10,185,25,13.51
2010-07-01,11,185,27,14.59
2010-07-01,12,185,24,12.97
2010-07-01,13,185,25,13.51
2010-07-01,14,185,36,19.46
2010-07-01,15,185,32,17.3
2010-07-01,16,185,44,23.78
2010-07-01,17,185,15,8.11
2010-08-01,0,163,163,100.0
2010-08-01,1,163,32,19.63
2010-08-01,2,163,47,28.83
2010-08-01,3,163,53,32.52
2010-08-01,4,163,27,16.56
2010-08-01,5,163,19,11.66
2010-08-01,6,163,16,9.82
2010-08-01,7,163,21,12.88
2010-08-01,8,163,22,13.5
2010-08-01,9,163,21,12.88
2010-08-01,10,163,21,12.88
2010-08-01,11,163,19,11.66
2010-08-01,12,163,24,14.72
2010-08-01,13,163,28,17.18
2010-08-01,14,163,28,17.18
2010-08-01,15,163,32,19.63
2010-08-01,16,163,12,7.36
2010-09-01,0,239,239,100.0
2010-09-01,1,239,55,23.01
2010-09-01,2,239,56,23.43
2010-09-01,3,239,31,12.97
2010-09-01,4,239,21,8.79
2010-09-01,5,239,25,10.46
2010-09-01,6,239,33,13.81
2010-09-01,7,239,23,9.62
2010-09-01,8,239,31,12.97
2010-09-01,9,239,31,12.97
2010-09-01,10,239,29,12.13
2010-09-01,11,239,24,10.04
2010-09-01,12,239,54,22.59
2010-09-01,13,239,40,16.74
2010-09-01,14,239,40,16.74
2010-09-01,15,239,13,5.44
2010-10-01,0,375,375,100.0
2010-10-01,1,375,97,25.87
2010-10-01,2,375,55,14.67
2010-10-01,3,375,47,12.53
2010-10-01,4,375,33,8.8
2010-10-01,5,375,31,8.27
2010-10-01,6,375,49,13.07
2010-10-01,7,375,52,13.87
2010-10-01,8,375,40,10.67
2010-10-01,9,375,35,9.33
2010-10-01,10,375,40,10.67
2010-10-01,11,375,48,12.8
2010-10-01,12,375,72,19.2
2010-10-01,13,375,87,23.2
2010-10-01,14,375,26,6.93
2010-11-01,0,326,326,100.0
2010-11-01,1,326,57,17.48
2010-11-01,2,326,31,9.51
2010-11-01,3,326,31,9.51
2010-11-01,4,326,25,7.67
2010-11-01,5,326,29,8.9
2010-11-01,6,326,42,12.88
2010-11-01,7,326,33,10.12
2010-11-01,8,326,28,8.59
2010-11-01,9,326,30,9.2
2010-11-01,10,326,36,11.04
2010-11-01,11,326,48,14.72
2010-11-01,12,326,82,25.15
2010-11-01,13,326,21,6.44
2010-12-01,0,76,76,100.0
2010-12-01,1,76,7,9.21
2010-12-01,2,76,4,5.26
2010-12-01,3,76,7,9.21
2010-12-01,4,76,9,11.84
2010-12-01,5,76,5,6.58
2010-12-01,6,76,4,5.26
2010-12-01,7,76,7,9.21
2010-12-01,8,76,4,5.26
2010-12-01,9,76,2,2.63
2010-12-01,10,76,7,9.21
2010-12-01,11,76,15,19.74
2010-12-01,12,76,2,2.63
2011-01-01,0,72,72,100.0
2011-01-01,1,72,12,16.67
2011-01-01,2,72,16,22.22
2011-01-01,3,72,14,19.44
2011-01-01,4,72,16,22.22
2011-01-01,5,72,11,15.28
2011-01-01,6,72,11,15.28
2011-01-01,7,72,9,12.5
2011-01-01,8,72,8,11.11
2011-01-01,9,72,15,20.83
2011-01-01,10,72,18,25.0
2011-01-01,11,72,8,11.11
2011-02-01,0,125,125,100.0
2011-02-01,1,125,20,16.0
2011-02-01,2,125,20,16.0
2011-02-01,3,125,23,18.4
2011-02-01,4,125,27,21.6
2011-02-01,5,125,20,16.0
2011-02-01,6,125,20,16.0
2011-02-01,7,125,19,15.2
2011-02-01,8,125,19,15.2
2011-02-01,9,125,23,18.4
2011-02-01,10,125,8,6.4
2011-03-01,0,179,179,100.0
2011-03-01,1,179,32,17.88
2011-03-01,2,179,39,21.79
2011-03-01,3,179,36,20.11
2011-03-01,4,179,40,22.35
2011-03-01,5,179,27,15.08
2011-03-01,6,179,37,20.67
2011-03-01,7,179,36,20.11
2011-03-01,8,179,43,24.02
2011-03-01,9,179,17,9.5
2011-04-01,0,106,106,100.0
2011-04-01,1,106,26,24.53
2011-04-01,2,106,21,19.81
2011-04-01,3,106,21,19.81
2011-04-01,4,106,19,17.92
2011-04-01,5,106,25,23.58
2011-04-01,6,106,19,17.92
2011-04-01,7,106,27,25.47
2011-04-01,8,106,12,11.32
2011-05-01,0,111,111,100.0
2011-05-01,1,111,26,23.42
2011-05-01,2,111,27,24.32
2011-05-01,3,111,18,16.22
2011-05-01,4,111,24,21.62
2011-05-01,5,111,23,20.72
2011-05-01,6,111,29,26.13
2011-05-01,7,111,13,11.71
2011-06-01,0,108,108,100.0
2011-06-01,1,108,25,23.15
2011-06-01,2,108,23,21.3
2011-06-01,3,108,29,26.85
2011-06-01,4,108,22,20.37
2011-06-01,5,108,30,27.78
2011-06-01,6,108,9,8.33
2011-07-01,0,101,101,100.0
2011-07-01,1,101,21,20.79
2011-07-01,2,101,30,29.7
2011-07-01,3,101,28,27.72
2011-07-01,4,101,35,34.65
2011-07-01,5,101,16,15.84
2011-08-01,0,107,107,100.0
2011-08-01,1,107,28,26.17
2011-08-01,2,107,32,29.91
2011-08-01,3,107,28,26.17
2011-08-01,4,107,18,16.82
2011-09-01,0,188,188,100.0
2011-09-01,1,188,51,27.13
2011-09-01,2,188,71,37.77
2011-09-01,3,188,28,14.89
2011-10-01,0,221,221,100.0
2011-10-01,1,221,70,31.67
2011-10-01,2,221,35,15.84
2011-11-01,0,191,191,100.0
2011-11-01,1,191,27,14.14
2011-12-01,0,28,28,100.0
