cumulative_customer_pct,cumulative_revenue_pct
3.9303,48.29
3.9474,48.36
3.9645,48.42
3.9815,48.49
3.9986,48.55
4.0157,48.61
4.0328,48.68
4.0499,48.74
4.067,48.8
4.0841,48.86
4.1012,48.93
4.1183,48.99
4.1353,49.05
4.1524,49.11
4.1695,49.17
4.1866,49.23
4.2037,49.29
4.2208,49.35
4.2379,49.41
4.255,49.47
4.272,49.53
4.2891,49.59
4.3062,49.65
4.3233,49.71
4.3404,49.77
4.3575,49.83
4.3746,49.88
4.3917,49.94
4.4087,50.0
4.4258,50.06
4.4429,50.12
4.46,50.17
4.4771,50.23
4.4942,50.29
4.5113,50.34
4.5284,50.4
4.5455,50.46
4.5625,50.52
4.5796,50.57
4.5967,50.63
4.6138,50.69
4.6309,50.74
4.648,50.8
4.6651,50.86
4.6822,50.91
4.6992,50.97
4.7163,51.03
4.7334,51.08
4.7505,51.14
4.7676,51.19
4.7847,51.25
4.8018,51.31
4.8189,51.36
4.836,51.42
4.853,51.47
4.8701,51.53
4.8872,51.58
4.9043,51.64
4.9214,51.69
4.9385,51.75
4.9556,51.8
4.9727,51.85
4.9897,51.91
5.0068,51.96
5.0239,52.02
5.041,52.07
5.0581,52.12
5.0752,52.18
5.0923,52.23
5.1094,52.29
5.1265,52.34
5.1435,52.39
5.1606,52.45
5.1777,52.5
5.1948,52.55
5.2119,52.61
5.229,52.66
5.2461,52.71
5.2632,52.76
5.2802,52.82
5.2973,52.87
5.3144,52.92
5.3315,52.97
5.3486,53.03
5.3657,53.08
5.3828,53.13
5.3999,53.18
5.417,53.23
5.434,53.28
5.4511,53.34
5.4682,53.39
5.4853,53.44
5.5024,53.49
5.5195,53.54
5.5366,53.59
5.5537,53.64
5.5707,53.69
5.5878,53.74
5.6049,53.79
5.622,53.84
5.6391,53.89
5.6562,53.94
5.6733,53.99
5.6904,54.04
5.7075,54.09
5.7245,54.14
5.7416,54.19
5.7587,54.24
5.7758,54.29
5.7929,54.34
5.81,54.39
5.8271,54.44
5.8442,54.49
5.8612,54.53
5.8783,54.58
5.8954,54.63
5.9125,54.68
5.9296,54.73
5.9467,54.78
5.9638,54.82
5.9809,54.87
5.9979,54.92
6.015,54.97
6.0321,55.02
6.0492,55.06
6.0663,55.11
6.0834,55.16
6.1005,55.2
6.1176,55.25
6.1347,55.3
6.1517,55.35
6.1688,55.39
6.1859,55.44
6.203,55.49
6.2201,55.53
6.2372,55.58
6.2543,55.63
6.2714,55.67
6.2884,55.72
6.3055,55.76
6.3226,55.81
6.3397,55.86
6.3568,55.9
6.3739,55.95
6.391,55.99
6.4081,56.04
6.4252,56.08
6.4422,56.13
6.4593,56.17
6.4764,56.22
6.4935,56.26
6.5106,56.31
6.5277,56.35
6.5448,56.4
6.5619,56.44
6.5789,56.49
6.596,56.53
6.6131,56.57
6.6302,56.62
6.6473,56.66
6.6644,56.71
6.6815,56.75
6.6986,56.8
6.7157,56.84
6.7327,56.88
6.7498,56.93
6.7669,56.97
6.784,57.01
6.8011,57.06
6.8182,57.1
6.8353,57.14
6.8524,57.19
6.8694,57.23
6.8865,57.27
6.9036,57.31
6.9207,57.36
6.9378,57.4
6.9549,57.44
6.972,57.48
6.9891,57.52
7.0062,57.56
7.0232,57.61
7.0403,57.65
7.0574,57.69
7.0745,57.73
7.0916,57.77
7.1087,57.81
7.1258,57.85
7.1429,57.89
7.1599,57.93
7.177,57.98
7.1941,58.02
7.2112,58.06
7.2283,58.1
7.2454,58.14
7.2625,58.18
7.2796,58.22
7.2967,58.26
7.3137,58.3
7.3308,58.34
7.3479,58.38
7.365,58.42
7.3821,58.46
7.3992,58.49
7.4163,58.53
7.4334,58.57
7.4504,58.61
7.4675,58.65
7.4846,58.69
7.5017,58.73
7.5188,58.77
7.5359,58.81
7.553,58.85
7.5701,58.88
7.5871,58.92
7.6042,58.96
7.6213,59.0
7.6384,59.04
7.6555,59.08
7.6726,59.12
7.6897,59.15
7.7068,59.19
7.7239,59.23
7.7409,59.27
7.758,59.31
7.7751,59.35
7.7922,59.38
7.8093,59.42
7.8264,59.46
7.8435,59.5
7.8606,59.54
7.8776,59.58
7.8947,59.61
7.9118,59.65
7.9289,59.69
7.946,59.73
7.9631,59.76
7.9802,59.8
7.9973,59.84
8.0144,59.88
8.0314,59.91
8.0485,59.95
8.0656,59.99
8.0827,60.03
8.0998,60.06
8.1169,60.1
8.134,60.14
8.1511,60.18
8.1681,60.21
8.1852,60.25
8.2023,60.29
8.2194,60.32
8.2365,60.36
8.2536,60.4
8.2707,60.43
8.2878,60.47
8.3049,60.51
8.3219,60.54
8.339,60.58
8.3561,60.62
8.3732,60.65
8.3903,60.69
8.4074,60.73
8.4245,60.76
8.4416,60.8
8.4586,60.84
8.4757,60.87
8.4928,60.91
8.5099,60.94
8.527,60.98
8.5441,61.02
8.5612,61.05
8.5783,61.09
8.5954,61.12
8.6124,61.16
8.6295,61.19
8.6466,61.23
8.6637,61.27
8.6808,61.3
8.6979,61.34
8.715,61.37
8.7321,61.41
8.7491,61.44
8.7662,61.48
8.7833,61.51
8.8004,61.55
8.8175,61.58
8.8346,61.62
8.8517,61.65
8.8688,61.69
8.8859,61.72
8.9029,61.76
8.92,61.79
8.9371,61.82
8.9542,61.86
8.9713,61.89
8.9884,61.93
9.0055,61.96
9.0226,62.0
9.0396,62.03
9.0567,62.06
9.0738,62.1
9.0909,62.13
9.108,62.17
9.1251,62.2
9.1422,62.23
9.1593,62.27
9.1763,62.3
9.1934,62.34
9.2105,62.37
9.2276,62.4
9.2447,62.44
9.2618,62.47
9.2789,62.5
9.296,62.53
9.3131,62.57
9.3301,62.6
9.3472,62.63
9.3643,62.67
9.3814,62.7
9.3985,62.73
9.4156,62.77
9.4327,62.8
9.4498,62.83
9.4668,62.86
9.4839,62.9
9.501,62.93
9.5181,62.96
9.5352,62.99
9.5523,63.03
9.5694,63.06
9.5865,63.09
9.6036,63.12
9.6206,63.16
9.6377,63.19
9.6548,63.22
9.6719,63.25
9.689,63.29
9.7061,63.32
9.7232,63.35
9.7403,63.38
9.7573,63.41
9.7744,63.45
9.7915,63.48
9.8086,63.51
9.8257,63.54
9.8428,63.58
9.8599,63.61
9.877,63.64
9.8941,63.67
9.9111,63.7
9.9282,63.74
9.9453,63.77
9.9624,63.8
9.9795,63.83
9.9966,63.86
10.0137,63.89
10.0308,63.93
10.0478,63.96
10.0649,63.99
10.082,64.02
10.0991,64.05
10.1162,64.08
10.1333,64.11
10.1504,64.14
10.1675,64.18
10.1846,64.21
10.2016,64.24
10.2187,64.27
10.2358,64.3
10.2529,64.33
10.27,64.36
10.2871,64.39
10.3042,64.42
10.3213,64.45
10.3383,64.48
10.3554,64.51
10.3725,64.55
10.3896,64.58
10.4067,64.61
10.4238,64.64
10.4409,64.67
10.458,64.7
10.4751,64.73
10.4921,64.76
10.5092,64.79
10.5263,64.82
10.5434,64.85
10.5605,64.88
10.5776,64.91
10.5947,64.94
10.6118,64.97
10.6288,65.0
10.6459,65.03
10.663,65.06
10.6801,65.09
10.6972,65.12
10.7143,65.15
10.7314,65.18
10.7485,65.21
10.7656,65.23
10.7826,65.26
10.7997,65.29
10.8168,65.32
10.8339,65.35
10.851,65.38
10.8681,65.41
10.8852,65.44
10.9023,65.47
10.9193,65.5
10.9364,65.53
10.9535,65.56
10.9706,65.59
10.9877,65.62
11.0048,65.64
11.0219,65.67
11.039,65.7
11.056,65.73
11.0731,65.76
11.0902,65.79
11.1073,65.82
11.1244,65.85
11.1415,65.87
11.1586,65.9
11.1757,65.93
11.1928,65.96
11.2098,65.99
11.2269,66.02
11.244,66.04
11.2611,66.07
11.2782,66.1
11.2953,66.13
11.3124,66.16
11.3295,66.18
11.3465,66.21
11.3636,66.24
11.3807,66.27
11.3978,66.3
11.4149,66.32
11.432,66.35
11.4491,66.38
11.4662,66.41
11.4833,66.44
11.5003,66.46
11.5174,66.49
11.5345,66.52
11.5516,66.55
11.5687,66.57
11.5858,66.6
11.6029,66.63
11.62,66.66
11.637,66.68
11.6541,66.71
11.6712,66.74
11.6883,66.77
11.7054,66.79
11.7225,66.82
11.7396,66.85
11.7567,66.87
11.7738,66.9
11.7908,66.93
11.8079,66.95
11.825,66.98
11.8421,67.01
11.8592,67.04
11.8763,67.06
11.8934,67.09
11.9105,67.12
11.9275,67.14
11.9446,67.17
11.9617,67.2
11.9788,67.22
11.9959,67.25
12.013,67.28
12.0301,67.3
12.0472,67.33
12.0643,67.36
12.0813,67.38
12.0984,67.41
12.1155,67.43
12.1326,67.46
12.1497,67.49
12.1668,67.51
12.1839,67.54
12.201,67.57
12.218,67.59
12.2351,67.62
12.2522,67.64
12.2693,67.67
12.2864,67.7
12.3035,67.72
12.3206,67.75
12.3377,67.78
12.3548,67.8
12.3718,67.83
12.3889,67.85
12.406,67.88
12.4231,67.91
12.4402,67.93
12.4573,67.96
12.4744,67.98
12.4915,68.01
12.5085,68.03
12.5256,68.06
12.5427,68.09
12.5598,68.11
12.5769,68.14
12.594,68.16
12.6111,68.19
12.6282,68.21
12.6452,68.24
12.6623,68.26
12.6794,68.29
12.6965,68.32
12.7136,68.34
12.7307,68.37
12.7478,68.39
12.7649,68.42
12.782,68.44
12.799,68.47
12.8161,68.49
12.8332,68.52
12.8503,68.54
12.8674,68.57
12.8845,68.59
12.9016,68.62
12.9187,68.65
12.9357,68.67
12.9528,68.7
12.9699,68.72
12.987,68.75
13.0041,68.77
13.0212,68.8
13.0383,68.82
13.0554,68.85
13.0725,68.87
13.0895,68.9
13.1066,68.92
13.1237,68.95
13.1408,68.97
13.1579,69.0
13.175,69.02
13.1921,69.05
13.2092,69.07
13.2262,69.1
13.2433,69.12
13.2604,69.15
13.2775,69.17
13.2946,69.2
13.3117,69.22
13.3288,69.25
13.3459,69.27
13.363,69.29
13.38,69.32
13.3971,69.34
13.4142,69.37
13.4313,69.39
13.4484,69.42
13.4655,69.44
13.4826,69.47
13.4997,69.49
13.5167,69.52
13.5338,69.54
13.5509,69.56
13.568,69.59
13.5851,69.61
13.6022,69.64
13.6193,69.66
13.6364,69.69
13.6535,69.71
13.6705,69.73
13.6876,69.76
13.7047,69.78
13.7218,69.81
13.7389,69.83
13.756,69.85
13.7731,69.88
13.7902,69.9
13.8072,69.93
13.8243,69.95
13.8414,69.97
13.8585,70.0
13.8756,70.02
13.8927,70.05
13.9098,70.07
13.9269,70.09
13.944,70.12
13.961,70.14
13.9781,70.16
13.9952,70.19
14.0123,70.21
14.0294,70.23
14.0465,70.26
14.0636,70.28
14.0807,70.3
14.0977,70.33
14.1148,70.35
14.1319,70.37
14.149,70.4
14.1661,70.42
14.1832,70.44
14.2003,70.47
14.2174,70.49
14.2344,70.51
14.2515,70.54
14.2686,70.56
14.2857,70.58
14.3028,70.61
14.3199,70.63
14.337,70.65
14.3541,70.68
14.3712,70.7
14.3882,70.72
14.4053,70.75
14.4224,70.77
14.4395,70.79
14.4566,70.81
14.4737,70.84
14.4908,70.86
14.5079,70.88
14.5249,70.91
14.542,70.93
14.5591,70.95
14.5762,70.97
14.5933,71.0
14.6104,71.02
14.6275,71.04
14.6446,71.06
14.6617,71.09
14.6787,71.11
14.6958,71.13
14.7129,71.15
14.73,71.18
14.7471,71.2
14.7642,71.22
14.7813,71.24
14.7984,71.27
14.8154,71.29
14.8325,71.31
14.8496,71.33
14.8667,71.36
14.8838,71.38
14.9009,71.4
14.918,71.42
14.9351,71.44
14.9522,71.47
14.9692,71.49
14.9863,71.51
15.0034,71.53
15.0205,71.55
15.0376,71.58
15.0547,71.6
15.0718,71.62
15.0889,71.64
15.1059,71.66
15.123,71.69
15.1401,71.71
15.1572,71.73
15.1743,71.75
15.1914,71.77
15.2085,71.8
15.2256,71.82
15.2427,71.84
15.2597,71.86
15.2768,71.88
15.2939,71.9
15.311,71.93
15.3281,71.95
15.3452,71.97
15.3623,71.99
15.3794,72.01
15.3964,72.03
15.4135,72.06
15.4306,72.08
15.4477,72.1
15.4648,72.12
15.4819,72.14
15.499,72.16
15.5161,72.18
15.5332,72.21
15.5502,72.23
15.5673,72.25
15.5844,72.27
15.6015,72.29
15.6186,72.31
15.6357,72.33
15.6528,72.36
15.6699,72.38
15.6869,72.4
15.704,72.42
15.7211,72.44
15.7382,72.46
15.7553,72.48
15.7724,72.5
15.7895,72.53
15.8066,72.55
15.8237,72.57
15.8407,72.59
15.8578,72.61
15.8749,72.63
15.892,72.65
15.9091,72.67
15.9262,72.69
15.9433,72.71
15.9604,72.73
15.9774,72.76
15.9945,72.78
16.0116,72.8
16.0287,72.82
16.0458,72.84
16.0629,72.86
16.08,72.88
16.0971,72.9
16.1141,72.92
16.1312,72.94
16.1483,72.96
16.1654,72.98
16.1825,73.0
16.1996,73.03
16.2167,73.05
16.2338,73.07
16.2509,73.09
16.2679,73.11
16.285,73.13
16.3021,73.15
16.3192,73.17
16.3363,73.19
16.3534,73.21
16.3705,73.23
16.3876,73.25
16.4046,73.27
16.4217,73.29
16.4388,73.31
16.4559,73.33
16.473,73.35
16.4901,73.37
16.5072,73.39
16.5243,73.41
16.5414,73.43
16.5584,73.45
16.5755,73.47
16.5926,73.49
16.6097,73.51
16.6268,73.53
16.6439,73.55
16.661,73.57
16.6781,73.59
16.6951,73.61
16.7122,73.63
16.7293,73.65
16.7464,73.67
16.7635,73.69
16.7806,73.71
16.7977,73.73
16.8148,73.75
16.8319,73.77
16.8489,73.79
16.866,73.81
16.8831,73.83
16.9002,73.85
16.9173,73.87
16.9344,73.89
16.9515,73.91
16.9686,73.93
16.9856,73.95
17.0027,73.97
17.0027,73.99
17.0369,74.01
17.054,74.03
17.0711,74.05
17.0882,74.07
17.1053,74.09
17.1224,74.11
17.1394,74.13
17.1565,74.15
17.1736,74.17
17.1907,74.18
17.2078,74.2
17.2249,74.22
17.242,74.24
17.2591,74.26
17.2761,74.28
17.2932,74.3
17.3103,74.32
17.3274,74.34
17.3445,74.36
17.3616,74.38
17.3787,74.4
17.3958,74.42
17.4129,74.44
17.4299,74.46
17.447,74.47
17.4641,74.49
17.4812,74.51
17.4983,74.53
17.5154,74.55
17.5325,74.57
17.5496,74.59
17.5666,74.61
17.5837,74.63
17.6008,74.65
17.6179,74.67
17.635,74.69
17.6521,74.7
17.6692,74.72
17.6863,74.74
17.7033,74.76
17.7204,74.78
17.7375,74.8
17.7546,74.82
17.7717,74.84
17.7888,74.86
17.8059,74.88
17.823,74.89
17.8401,74.91
17.8571,74.93
17.8742,74.95
17.8913,74.97
17.9084,74.99
17.9255,75.01
17.9426,75.03
17.9597,75.04
17.9768,75.06
17.9938,75.08
18.0109,75.1
18.028,75.12
18.0451,75.14
18.0622,75.16
18.0793,75.17
18.0964,75.19
18.1135,75.21
18.1306,75.23
18.1476,75.25
18.1647,75.27
18.1818,75.29
18.1989,75.3
18.216,75.32
18.2331,75.34
18.2502,75.36
18.2673,75.38
18.2843,75.4
18.3014,75.41
18.3185,75.43
18.3356,75.45
18.3527,75.47
18.3698,75.49
18.3869,75.51
18.404,75.52
18.4211,75.54
18.4381,75.56
18.4552,75.58
18.4723,75.6
18.4894,75.62
18.5065,75.63
18.5236,75.65
18.5407,75.67
18.5578,75.69
18.5748,75.71
18.5919,75.72
18.609,75.74
18.6261,75.76
18.6432,75.78
18.6603,75.8
18.6774,75.81
18.6945,75.83
18.7116,75.85
18.7286,75.87
18.7457,75.89
18.7628,75.91
18.7799,75.92
18.797,75.94
18.8141,75.96
18.8312,75.98
18.8483,75.99
18.8653,76.01
18.8824,76.03
18.8995,76.05
18.9166,76.07
18.9337,76.08
18.9508,76.1
18.9679,76.12
18.985,76.14
19.0021,76.16
19.0191,76.17
19.0362,76.19
19.0533,76.21
19.0704,76.23
19.0875,76.24
19.1046,76.26
19.1217,76.28
19.1388,76.3
19.1558,76.32
19.1729,76.33
19.19,76.35
19.2071,76.37
19.2242,76.39
19.2413,76.4
19.2584,76.42
19.2755,76.44
19.2925,76.46
19.3096,76.47
19.3267,76.49
19.3438,76.51
19.3609,76.53
19.378,76.54
19.3951,76.56
19.4122,76.58
19.4293,76.6
19.4463,76.61
19.4634,76.63
19.4805,76.65
19.4976,76.67
19.5147,76.68
19.5318,76.7
19.5489,76.72
19.566,76.74
19.583,76.75
19.6001,76.77
19.6172,76.79
19.6343,76.8
19.6514,76.82
19.6685,76.84
19.6856,76.86
19.7027,76.87
19.7198,76.89
19.7368,76.91
19.7539,76.93
19.771,76.94
19.7881,76.96
19.8052,76.98
19.8223,76.99
19.8394,77.01
19.8565,77.03
19.8735,77.04
19.8906,77.06
19.9077,77.08
19.9248,77.1
19.9419,77.11
19.959,77.13
19.9761,77.15
19.9932,77.16
20.0103,77.18
20.0273,77.2
20.0444,77.21
20.0615,77.23
20.0786,77.25
20.0957,77.27
20.1128,77.28
20.1299,77.3
20.147,77.32
20.164,77.33
20.1811,77.35
20.1982,77.37
20.2153,77.38
20.2324,77.4
20.2495,77.42
20.2666,77.43
20.2837,77.45
20.3008,77.47
20.3178,77.48
20.3349,77.5
20.352,77.52
20.3691,77.53
20.3862,77.55
20.4033,77.57
20.4204,77.58
20.4375,77.6
20.4545,77.62
20.4716,77.63
20.4887,77.65
20.5058,77.66
20.5229,77.68
20.54,77.7
20.5571,77.71
20.5742,77.73
20.5913,77.75
20.6083,77.76
20.6254,77.78
20.6425,77.8
20.6596,77.81
20.6767,77.83
20.6938,77.85
20.7109,77.86
20.728,77.88
20.745,77.89
20.7621,77.91
20.7792,77.93
20.7963,77.94
20.8134,77.96
20.8305,77.98
20.8476,77.99
20.8647,78.01
20.8817,78.02
20.8988,78.04
20.9159,78.06
20.933,78.07
20.9501,78.09
20.9672,78.1
20.9843,78.12
21.0014,78.14
21.0185,78.15
21.0355,78.17
21.0526,78.19
21.0697,78.2
21.0868,78.22
21.1039,78.23
21.121,78.25
21.1381,78.27
21.1552,78.28
21.1722,78.3
21.1893,78.31
21.2064,78.33
21.2235,78.34
21.2406,78.36
21.2577,78.38
21.2748,78.39
21.2919,78.41
21.309,78.42
21.326,78.44
21.3431,78.46
21.3602,78.47
21.3773,78.49
21.3944,78.5
21.4115,78.52
21.4286,78.54
21.4457,78.55
21.4627,78.57
21.4798,78.58
21.4969,78.6
21.514,78.61
21.5311,78.63
21.5482,78.65
21.5653,78.66
21.5824,78.68
21.5995,78.69
21.6165,78.71
21.6336,78.72
21.6507,78.74
21.6678,78.75
21.6849,78.77
21.702,78.79
21.7191,78.8
21.7362,78.82
21.7532,78.83
21.7703,78.85
21.7874,78.86
21.8045,78.88
21.8216,78.89
21.8387,78.91
21.8558,78.92
21.8729,78.94
21.89,78.95
21.907,78.97
21.9241,78.98
21.9412,79.0
21.9583,79.02
21.9754,79.03
21.9925,79.05
22.0096,79.06
22.0267,79.08
22.0437,79.09
22.0608,79.11
22.0779,79.12
22.095,79.14
22.1121,79.15
22.1292,79.17
22.1463,79.18
22.1634,79.2
22.1805,79.21
22.1975,79.23
22.2146,79.24
22.2317,79.26
22.2488,79.27
22.2659,79.29
22.283,79.3
22.3001,79.32
22.3172,79.33
22.3342,79.35
22.3513,79.36
22.3684,79.38
22.3855,79.39
22.4026,79.41
22.4197,79.42
22.4368,79.43
22.4539,79.45
22.471,79.46
22.488,79.48
22.5051,79.49
22.5222,79.51
22.5393,79.52
22.5564,79.54
22.5735,79.55
22.5906,79.57
22.6077,79.58
22.6247,79.6
22.6418,79.61
22.6589,79.63
22.676,79.64
22.6931,79.66
22.7102,79.67
22.7273,79.69
22.7444,79.7
22.7614,79.72
22.7785,79.73
22.7956,79.74
22.8127,79.76
22.8298,79.77
22.8469,79.79
22.864,79.8
22.8811,79.82
22.8982,79.83
22.9152,79.85
22.9323,79.86
22.9494,79.88
22.9665,79.89
22.9836,79.91
23.0007,79.92
23.0178,79.93
23.0349,79.95
23.0519,79.96
23.069,79.98
23.0861,79.99
23.1032,80.01
23.1203,80.02
23.1374,80.03
23.1545,80.05
23.1716,80.06
23.1887,80.08
23.2057,80.09
23.2228,80.11
23.2399,80.12
23.257,80.14
23.2741,80.15
23.2912,80.16
23.3083,80.18
23.3254,80.19
23.3424,80.21
23.3595,80.22
23.3766,80.23
23.3937,80.25
23.4108,80.26
23.4279,80.28
23.445,80.29
23.4621,80.31
23.4792,80.32
23.4962,80.33
23.5133,80.35
23.5304,80.36
23.5475,80.38
23.5646,80.39
23.5817,80.4
23.5988,80.42
23.6159,80.43
23.6329,80.45
23.65,80.46
23.6671,80.47
23.6842,80.49
23.7013,80.5
23.7184,80.52
23.7355,80.53
23.7526,80.54
23.7697,80.56
23.7867,80.57
23.8038,80.59
23.8209,80.6
23.838,80.61
23.8551,80.63
23.8722,80.64
23.8893,80.66
23.9064,80.67
23.9234,80.68
23.9405,80.7
23.9576,80.71
23.9747,80.72
23.9918,80.74
24.0089,80.75
24.026,80.77
24.0431,80.78
24.0602,80.79
24.0772,80.81
24.0943,80.82
24.1114,80.83
24.1285,80.85
24.1456,80.86
24.1627,80.88
24.1798,80.89
24.1969,80.9
24.2139,80.92
24.231,80.93
24.2481,80.94
24.2652,80.96
24.2823,80.97
24.2994,80.98
24.3165,81.0
24.3336,81.01
24.3506,81.03
24.3677,81.04
24.3848,81.05
24.4019,81.07
24.419,81.08
24.4361,81.09
24.4532,81.11
24.4703,81.12
24.4874,81.13
24.5044,81.15
24.5215,81.16
24.5386,81.17
24.5557,81.19
24.5728,81.2
24.5899,81.21
24.607,81.23
24.6241,81.24
24.6411,81.25
24.6582,81.27
24.6753,81.28
24.6924,81.29
24.7095,81.31
24.7266,81.32
24.7437,81.33
24.7608,81.35
24.7779,81.36
24.7949,81.37
24.812,81.39
24.8291,81.4
24.8462,81.41
24.8633,81.43
24.8804,81.44
24.8975,81.45
24.9146,81.47
24.9316,81.48
24.9487,81.49
24.9658,81.51
24.9829,81.52
25.0,81.53
25.0171,81.54
25.0342,81.56
25.0513,81.57
25.0684,81.58
25.0854,81.6
25.1025,81.61
25.1196,81.62
25.1367,81.64
25.1538,81.65
25.1709,81.66
25.188,81.68
25.2051,81.69
25.2221,81.7
25.2392,81.71
25.2563,81.73
25.2734,81.74
25.2905,81.75
25.3076,81.77
25.3247,81.78
25.3418,81.79
25.3589,81.8
25.3759,81.82
25.393,81.83
25.4101,81.84
25.4272,81.86
25.4443,81.87
25.4614,81.88
25.4785,81.89
25.4956,81.91
25.5126,81.92
25.5297,81.93
25.5468,81.95
25.5639,81.96
25.581,81.97
25.5981,81.98
25.6152,82.0
25.6323,82.01
25.6494,82.02
25.6664,82.04
25.6835,82.05
25.7006,82.06
25.7177,82.07
25.7348,82.09
25.7519,82.1
25.769,82.11
25.7861,82.12
25.8031,82.14
25.8202,82.15
25.8373,82.16
25.8544,82.18
25.8715,82.19
25.8886,82.2
25.9057,82.21
25.9228,82.23
25.9398,82.24
25.9569,82.25
25.974,82.26
25.9911,82.28
26.0082,82.29
26.0253,82.3
26.0424,82.31
26.0595,82.33
26.0766,82.34
26.0936,82.35
26.1107,82.36
26.1278,82.38
26.1449,82.39
26.162,82.4
26.1791,82.41
26.1962,82.42
26.2133,82.44
26.2303,82.45
26.2474,82.46
26.2645,82.47
26.2816,82.49
26.2987,82.5
26.3158,82.51
26.3329,82.52
26.35,82.54
26.3671,82.55
26.3841,82.56
26.4012,82.57
26.4183,82.58
26.4354,82.6
26.4525,82.61
26.4696,82.62
26.4867,82.63
26.5038,82.65
26.5208,82.66
26.5379,82.67
26.555,82.68
26.5721,82.69
26.5892,82.71
26.6063,82.72
26.6234,82.73
26.6405,82.74
26.6576,82.76
26.6746,82.77
26.6917,82.78
26.7088,82.79
26.7259,82.8
26.743,82.82
26.7601,82.83
26.7772,82.84
