customer_id,segment,last_order_date,days_since_last_order,n_orders,historical_value,projected_12m_value,transparent_clv_12m,revenue_at_stake
15538,Can't Lose,2010-06-20 10:49:00,537,6,3358.4,7543.3,10901.7,7543.3
16032,Can't Lose,2010-09-09 18:00:00,456,6,1970.45,7353.75,9324.2,7353.75
14439,Can't Lose,2011-01-24 11:39:00,319,5,9443.04,7351.47,16794.51,7351.47
17230,Can't Lose,2011-03-20 16:12:00,264,18,9924.95,7287.52,17212.47,7287.52
15629,At Risk,2010-09-15 13:46:00,450,4,2240.9,7279.5,9520.4,7279.5
13031,Can't Lose,2010-10-28 15:34:00,407,5,3419.27,7038.47,10457.74,7038.47
14831,At Risk,2010-01-28 14:31:00,680,3,1676.57,7003.48,8680.05,7003.48
17132,At Risk,2010-09-13 16:31:00,452,2,1272.8,6980.69,8253.49,6980.69
13407,At Risk,2010-05-10 12:41:00,578,3,2244.7,6952.99,9197.69,6952.99
17504,Can't Lose,2011-05-17 12:59:00,206,18,9565.12,6811.27,16376.39,6811.27
17032,Can't Lose,2010-04-15 14:14:00,603,5,2916.97,6810.54,9727.51,6810.54
16065,Can't Lose,2010-12-09 13:03:00,365,8,2382.62,6775.68,9158.3,6775.68
18051,Can't Lose,2010-03-15 13:58:00,634,7,2282.28,6593.0,8875.28,6593.0
15817,At Risk,2010-10-15 11:07:00,420,3,2766.4,6585.27,9351.67,6585.27
12835,Can't Lose,2010-10-08 10:59:00,427,41,6043.31,6502.87,12546.18,6502.87
14828,Can't Lose,2011-05-27 10:16:00,196,13,9839.46,6344.68,16184.14,6344.68
12755,Can't Lose,2011-03-04 12:42:00,280,11,9030.66,6316.98,15347.64,6316.98
15633,Can't Lose,2010-07-18 13:54:00,509,13,4352.46,6297.54,10650.0,6297.54
17145,Can't Lose,2010-07-15 09:02:00,512,4,3120.91,6215.27,9336.18,6215.27
13554,Can't Lose,2010-11-24 15:05:00,380,7,1638.28,6204.87,7843.15,6204.87
17732,Can't Lose,2010-12-02 09:29:00,372,8,2470.39,6189.28,8659.67,6189.28
14249,Can't Lose,2010-10-25 12:34:00,410,12,5625.46,5827.4,11452.86,5827.4
16636,Can't Lose,2010-09-27 13:13:00,438,4,3802.04,5824.15,9626.19,5824.15
14634,At Risk,2010-09-28 10:40:00,437,4,2124.46,5771.89,7896.35,5771.89
16290,Can't Lose,2010-09-01 11:52:00,464,4,2069.3,5735.22,7804.52,5735.22
16072,Can't Lose,2011-02-24 14:32:00,288,4,4328.89,5425.27,9754.16,5425.27
18258,Can't Lose,2010-09-01 14:20:00,464,6,2059.67,5419.88,7479.55,5419.88
16336,Can't Lose,2010-10-15 12:32:00,420,4,3517.69,5321.61,8839.3,5321.61
15235,Can't Lose,2011-05-06 09:44:00,217,16,2937.81,5297.3,8235.11,5297.3
15614,At Risk,2010-09-28 10:46:00,437,4,3147.36,5238.73,8386.09,5238.73
15946,At Risk,2010-07-25 12:18:00,502,3,2304.18,5213.17,7517.35,5213.17
13446,Can't Lose,2010-10-05 18:51:00,430,11,3881.89,5177.68,9059.57,5177.68
13615,Can't Lose,2011-01-25 08:21:00,318,8,6272.53,4957.87,11230.4,4957.87
16993,At Risk,2010-09-02 12:16:00,463,2,1950.95,4954.83,6905.78,4954.83
15347,At Risk,2010-12-08 15:25:00,366,4,1363.6,4909.97,6273.57,4909.97
14648,Can't Lose,2010-10-19 13:12:00,416,15,4543.6,4832.17,9375.77,4832.17
16314,At Risk,2010-11-15 12:06:00,389,3,1491.4,4790.59,6281.99,4790.59
16335,Can't Lose,2010-06-06 11:35:00,551,7,2774.0,4724.94,7498.94,4724.94
17113,Can't Lose,2010-05-14 13:59:00,574,6,2322.59,4695.3,7017.89,4695.3
17822,Can't Lose,2010-10-15 13:47:00,420,5,2179.65,4658.73,6838.38,4658.73
13214,Can't Lose,2010-10-18 10:00:00,417,7,3264.23,4595.56,7859.79,4595.56
15248,At Risk,2010-10-24 13:09:00,411,3,1893.93,4508.4,6402.33,4508.4
15911,Can't Lose,2010-03-26 12:06:00,623,8,1685.89,4480.37,6166.26,4480.37
13958,Can't Lose,2010-11-25 10:11:00,379,8,4709.23,4462.58,9171.81,4462.58
16858,Can't Lose,2010-12-06 09:52:00,368,10,4668.28,4412.33,9080.61,4412.33
16499,Can't Lose,2010-12-14 13:31:00,360,8,2578.34,4351.09,6929.43,4351.09
17829,Can't Lose,2011-02-14 12:46:00,298,5,4756.74,4313.98,9070.72,4313.98
16125,Can't Lose,2010-12-07 15:48:00,367,14,4587.65,4313.79,8901.44,4313.79
14081,Can't Lose,2011-02-10 16:17:00,302,10,5370.1,4287.86,9657.96,4287.86
14105,Can't Lose,2011-04-14 17:58:00,239,5,5988.83,4268.66,10257.49,4268.66
13665,At Risk,2010-11-18 13:06:00,386,3,1711.66,4193.18,5904.84,4193.18
17406,Can't Lose,2011-01-10 15:07:00,333,13,4905.05,4162.21,9067.26,4162.21
16772,At Risk,2010-10-12 13:19:00,423,3,3723.55,4140.9,7864.45,4140.9
16736,Can't Lose,2010-07-22 10:09:00,505,5,2956.56,4130.56,7087.12,4130.56
14154,Can't Lose,2011-04-14 16:26:00,239,8,6460.7,4119.79,10580.49,4119.79
13707,Can't Lose,2011-03-17 18:03:00,267,5,3365.86,4105.63,7471.49,4105.63
16467,Can't Lose,2010-07-19 11:49:00,508,7,2869.16,4039.36,6908.52,4039.36
12625,At Risk,2011-05-12 09:54:00,211,4,4678.88,4016.58,8695.46,4016.58
13920,At Risk,2010-10-04 12:37:00,431,4,1774.68,4004.62,5779.3,4004.62
18231,Can't Lose,2011-05-31 14:18:00,192,28,6875.07,3975.4,10850.47,3975.4
17876,At Risk,2010-11-05 10:52:00,399,3,3424.02,3926.13,7350.15,3926.13
16129,At Risk,2010-10-28 14:29:00,407,3,1396.05,3891.96,5288.01,3891.96
12377,At Risk,2011-01-28 15:45:00,315,4,3266.32,3826.32,7092.64,3826.32
16296,Can't Lose,2010-03-23 13:11:00,626,4,1313.67,3825.16,5138.83,3825.16
17307,Can't Lose,2010-11-09 13:40:00,395,11,3999.89,3824.19,7824.08,3824.19
13542,Can't Lose,2010-11-28 11:24:00,376,17,4006.17,3816.15,7822.32,3816.15
13475,At Risk,2011-06-01 13:52:00,191,4,1431.78,3805.06,5236.84,3805.06
12932,Can't Lose,2010-06-18 14:22:00,539,8,1698.56,3766.98,5465.54,3766.98
15972,Can't Lose,2010-09-09 13:20:00,456,5,1810.27,3701.04,5511.31,3701.04
17138,Can't Lose,2011-03-09 11:54:00,275,7,4417.27,3622.73,8040.0,3622.73
18202,At Risk,2011-05-24 12:12:00,199,3,1396.99,3582.28,4979.27,3582.28
13659,Can't Lose,2011-05-18 12:37:00,205,12,4894.88,3543.06,8437.94,3543.06
13357,Can't Lose,2011-03-27 13:56:00,257,5,3817.36,3481.92,7299.28,3481.92
17508,Can't Lose,2011-03-04 08:10:00,280,8,4579.23,3466.9,8046.13,3466.9
13042,At Risk,2010-04-20 13:43:00,598,3,1556.54,3457.4,5013.94,3457.4
13506,Can't Lose,2011-01-27 13:53:00,316,5,1639.2,3432.28,5071.48,3432.28
13044,Can't Lose,2011-02-21 15:20:00,291,11,4853.9,3426.23,8280.13,3426.23
17028,At Risk,2010-05-07 15:33:00,581,3,1593.83,3415.6,5009.43,3415.6
12725,At Risk,2010-12-03 15:45:00,371,3,2278.56,3409.72,5688.28,3409.72
15015,Can't Lose,2010-07-26 13:50:00,501,13,2354.52,3379.96,5734.48,3379.96
18074,At Risk,2010-12-01 09:53:00,373,2,1509.04,3378.19,4887.23,3378.19
16718,Can't Lose,2010-12-05 13:03:00,369,5,3647.53,3377.62,7025.15,3377.62
13501,At Risk,2011-02-24 18:59:00,288,3,2885.11,3363.91,6249.02,3363.91
13963,Can't Lose,2011-02-04 14:43:00,308,17,3011.87,3362.57,6374.44,3362.57
18239,Can't Lose,2011-05-05 12:38:00,218,6,2150.36,3350.23,5500.59,3350.23
16742,Can't Lose,2010-08-04 10:52:00,492,13,2387.71,3335.83,5723.54,3335.83
16631,Can't Lose,2010-08-15 11:20:00,481,7,1892.52,3317.66,5210.18,3317.66
17529,At Risk,2010-04-08 17:51:00,610,2,1240.25,3275.86,4516.11,3275.86
16176,Can't Lose,2010-10-14 13:54:00,421,4,2052.69,3267.75,5320.44,3267.75
14590,Can't Lose,2010-10-11 12:06:00,424,20,3006.62,3244.82,6251.44,3244.82
14442,Can't Lose,2011-05-19 11:36:00,204,7,5367.02,3223.58,8590.6,3223.58
16010,Can't Lose,2011-04-08 10:14:00,245,11,1724.06,3205.67,4929.73,3205.67
14492,Can't Lose,2010-10-05 13:21:00,430,7,1921.91,3198.99,5120.9,3198.99
12549,Can't Lose,2010-05-13 12:05:00,575,5,1570.68,3196.09,4766.77,3196.09
17597,Can't Lose,2011-05-10 11:54:00,213,5,3484.09,3169.57,6653.66,3169.57
17241,Can't Lose,2010-11-19 13:01:00,385,12,2744.14,3136.31,5880.45,3136.31
16331,Can't Lose,2010-10-03 13:47:00,432,6,2037.7,3095.48,5133.18,3095.48
15638,Can't Lose,2010-11-26 11:52:00,378,6,2265.2,3078.23,5343.43,3078.23
13786,Can't Lose,2010-12-07 13:53:00,367,6,3358.94,3071.45,6430.39,3071.45
12872,Can't Lose,2011-01-17 10:52:00,326,12,3685.49,3056.34,6741.83,3056.34
14740,Can't Lose,2011-05-26 18:17:00,197,11,4161.06,3011.9,7172.96,3011.9
16692,Can't Lose,2011-03-28 14:46:00,256,4,1764.7,2991.85,4756.55,2991.85
15221,At Risk,2010-12-08 13:08:00,366,4,2465.45,2987.37,5452.82,2987.37
15222,Can't Lose,2011-01-25 08:03:00,318,11,3550.91,2978.54,6529.45,2978.54
14625,Can't Lose,2011-05-27 15:32:00,196,11,4497.88,2947.15,7445.03,2947.15
12986,Can't Lose,2010-10-07 11:57:00,428,10,2729.84,2925.53,5655.37,2925.53
13478,Can't Lose,2010-08-27 13:23:00,469,5,2215.78,2882.54,5098.32,2882.54
14817,Can't Lose,2011-05-23 13:35:00,200,7,3609.86,2882.36,6492.22,2882.36
14770,Can't Lose,2011-04-21 14:21:00,232,8,3637.64,2837.63,6475.27,2837.63
17646,Can't Lose,2011-05-04 13:17:00,219,12,4149.79,2836.09,6985.88,2836.09
17152,Can't Lose,2011-05-29 12:19:00,194,4,2016.5,2817.22,4833.72,2817.22
16351,Can't Lose,2011-01-11 10:26:00,332,13,3330.03,2806.16,6136.19,2806.16
16926,Can't Lose,2010-12-03 13:42:00,371,5,1421.35,2787.23,4208.58,2787.23
16004,Can't Lose,2010-08-22 11:48:00,474,5,2146.39,2780.6,4926.99,2780.6
14496,Can't Lose,2011-02-01 09:01:00,311,7,2668.23,2765.23,5433.46,2765.23
17465,Can't Lose,2010-10-10 11:56:00,425,7,2542.79,2720.13,5262.92,2720.13
13201,At Risk,2010-07-25 14:30:00,502,4,1240.61,2658.64,3899.25,2658.64
16980,At Risk,2011-03-29 16:36:00,255,3,1473.33,2645.2,4118.53,2645.2
15141,Can't Lose,2010-09-08 11:33:00,457,7,1388.47,2608.23,3996.7,2608.23
13151,At Risk,2011-02-17 12:29:00,295,3,2570.24,2590.18,5160.42,2590.18
16197,Can't Lose,2010-08-27 12:56:00,469,9,2016.71,2589.68,4606.39,2589.68
18095,Can't Lose,2011-01-31 12:50:00,312,5,2303.09,2587.46,4890.55,2587.46
13696,At Risk,2010-10-14 09:44:00,421,3,2020.4,2577.41,4597.81,2577.41
14465,Can't Lose,2011-04-07 12:38:00,246,11,3946.03,2521.45,6467.48,2521.45
15079,Can't Lose,2011-05-11 12:45:00,212,11,3767.35,2504.42,6271.77,2504.42
13783,At Risk,2010-08-09 09:23:00,487,4,1542.09,2503.5,4045.59,2503.5
17610,Can't Lose,2010-06-17 16:34:00,540,5,1529.49,2500.23,4029.72,2500.23
12982,Can't Lose,2011-04-11 11:51:00,242,8,2744.81,2481.73,5226.54,2481.73
12978,Can't Lose,2010-11-19 14:29:00,385,5,2502.82,2441.41,4944.23,2441.41
14532,Can't Lose,2011-04-17 13:05:00,236,11,3859.18,2430.9,6290.08,2430.9
14695,At Risk,2010-07-08 14:18:00,519,3,1620.07,2430.73,4050.8,2430.73
15057,Can't Lose,2011-03-09 15:17:00,275,5,3255.96,2429.81,5685.77,2429.81
15789,Can't Lose,2010-12-16 14:35:00,358,6,1962.01,2425.64,4387.65,2425.64
14399,Can't Lose,2010-11-10 13:23:00,394,8,2113.16,2391.82,4504.98,2391.82
12765,Can't Lose,2010-08-24 13:51:00,472,6,1299.58,2380.05,3679.63,2380.05
13052,Can't Lose,2011-05-11 14:12:00,212,7,3167.68,2355.95,5523.63,2355.95
16860,At Risk,2010-09-13 10:05:00,452,3,1610.62,2353.75,3964.37,2353.75
12975,Can't Lose,2010-09-29 09:46:00,436,6,2100.09,2342.61,4442.7,2342.61
15425,At Risk,2010-11-04 18:13:00,400,4,1944.57,2328.51,4273.08,2328.51
15013,Can't Lose,2010-08-09 12:05:00,487,10,1641.3,2309.54,3950.84,2309.54
17635,At Risk,2010-10-11 15:12:00,424,3,1265.58,2297.66,3563.24,2297.66
16889,Can't Lose,2011-05-29 11:05:00,194,6,2530.9,2296.69,4827.59,2296.69
17714,Can't Lose,2011-01-23 10:32:00,320,5,1410.18,2295.03,3705.21,2295.03
12976,Can't Lose,2011-05-12 09:55:00,211,8,3156.38,2289.4,5445.78,2289.4
14186,Can't Lose,2010-10-08 13:30:00,427,5,1550.63,2288.93,3839.56,2288.93
12623,Can't Lose,2011-03-08 13:50:00,276,7,3315.84,2283.4,5599.24,2283.4
14850,Can't Lose,2011-02-01 11:21:00,311,7,1794.01,2273.67,4067.68,2273.67
12857,Can't Lose,2011-05-13 10:20:00,210,6,3688.0,2272.31,5960.31,2272.31
16588,Can't Lose,2010-11-18 17:56:00,386,4,1361.28,2270.21,3631.49,2270.21
12813,At Risk,2010-07-26 09:50:00,501,3,1621.8,2261.58,3883.38,2261.58
15353,Can't Lose,2011-03-30 12:15:00,254,7,3175.95,2259.31,5435.26,2259.31
15100,Can't Lose,2011-01-10 10:35:00,333,7,2894.7,2253.54,5148.24,2253.54
13065,Can't Lose,2010-12-01 16:52:00,373,5,1260.91,2252.75,3513.66,2252.75
14669,Can't Lose,2011-04-12 11:43:00,241,7,3243.93,2250.69,5494.62,2250.69
16202,Can't Lose,2010-12-14 10:43:00,360,9,2501.99,2242.93,4744.92,2242.93
14161,Can't Lose,2011-05-08 11:41:00,215,7,3318.88,2238.89,5557.77,2238.89
14469,At Risk,2010-10-19 14:30:00,416,4,2112.21,2232.77,4344.98,2232.77
16795,At Risk,2010-12-09 14:08:00,365,3,2492.39,2218.78,4711.17,2218.78
16105,Can't Lose,2011-04-05 10:13:00,248,5,2386.19,2202.15,4588.34,2202.15
12870,At Risk,2010-11-29 13:42:00,375,3,1676.95,2191.92,3868.87,2191.92
15798,At Risk,2010-08-04 09:13:00,492,3,1535.37,2170.33,3705.7,2170.33
13152,Can't Lose,2010-10-18 13:44:00,417,7,2146.38,2165.57,4311.95,2165.57
14225,At Risk,2010-10-01 10:32:00,434,4,2037.02,2160.65,4197.67,2160.65
13239,Can't Lose,2011-03-23 10:25:00,261,5,1594.69,2136.37,3731.06,2136.37
12369,At Risk,2010-10-22 13:13:00,413,3,1511.15,2135.71,3646.86,2135.71
13059,Can't Lose,2011-04-04 10:40:00,249,10,2303.17,2106.04,4409.21,2106.04
14316,Can't Lose,2010-10-13 16:31:00,422,5,1370.34,2099.15,3469.49,2099.15
15590,Can't Lose,2010-11-22 14:49:00,382,5,1496.6,2097.71,3594.31,2097.71
13874,Can't Lose,2010-12-16 18:20:00,358,7,2049.15,2084.37,4133.52,2084.37
13074,At Risk,2010-07-16 16:53:00,511,4,1378.74,2077.17,3455.91,2077.17
13819,Can't Lose,2011-02-11 10:38:00,301,6,2642.35,2064.7,4707.05,2064.7
13485,Can't Lose,2011-04-20 13:58:00,233,11,3015.22,2064.55,5079.77,2064.55
14195,Can't Lose,2011-05-22 10:29:00,201,6,2615.6,2061.44,4677.04,2061.44
13649,Can't Lose,2011-03-28 11:51:00,256,6,1678.88,2034.29,3713.17,2034.29
16854,At Risk,2010-10-18 16:31:00,417,2,1408.96,2030.57,3439.53,2030.57
16625,Can't Lose,2011-03-10 12:50:00,274,5,1654.03,2017.56,3671.59,2017.56
15173,Can't Lose,2010-11-24 10:21:00,380,7,1494.6,1993.07,3487.67,1993.07
16716,At Risk,2011-03-18 10:03:00,266,3,2149.68,1990.61,4140.29,1990.61
16529,Can't Lose,2011-06-02 17:23:00,190,4,2012.0,1983.82,3995.82,1983.82
12802,Can't Lose,2011-06-06 09:36:00,186,5,2186.42,1954.87,4141.29,1954.87
14431,At Risk,2011-02-10 10:40:00,302,4,2614.2,1951.89,4566.09,1951.89
16163,Can't Lose,2011-04-21 15:15:00,232,6,2849.58,1943.85,4793.43,1943.85
14909,At Risk,2010-09-28 16:56:00,437,3,1404.68,1924.71,3329.39,1924.71
12468,Can't Lose,2011-06-05 11:36:00,187,5,3238.74,1911.96,5150.7,1911.96
13693,Can't Lose,2010-11-30 18:21:00,374,9,2011.82,1891.73,3903.55,1891.73
13916,At Risk,2010-09-02 10:04:00,463,4,1275.81,1849.08,3124.89,1849.08
16510,Can't Lose,2010-12-02 13:39:00,372,6,2079.75,1846.14,3925.89,1846.14
13855,At Risk,2010-07-27 09:53:00,500,4,1310.34,1830.65,3140.99,1830.65
18085,Can't Lose,2011-01-13 15:17:00,330,4,1645.75,1830.21,3475.96,1830.21
16329,Can't Lose,2010-10-08 12:44:00,427,4,1703.07,1821.85,3524.92,1821.85
17478,At Risk,2010-10-27 15:01:00,408,2,1272.8,1819.98,3092.78,1819.98
15777,Can't Lose,2011-04-12 16:43:00,241,7,1762.61,1796.39,3559.0,1796.39
12582,At Risk,2011-04-15 08:45:00,238,4,1820.4,1795.03,3615.43,1795.03
16797,Can't Lose,2010-11-11 19:14:00,393,5,1827.77,1782.92,3610.69,1782.92
17550,Can't Lose,2011-05-26 14:09:00,197,9,2547.64,1778.13,4325.77,1778.13
12389,At Risk,2010-11-02 11:52:00,402,3,1433.33,1776.88,3210.21,1776.88
16300,At Risk,2010-10-05 13:14:00,430,3,1392.43,1776.32,3168.75,1776.32
16917,At Risk,2011-03-08 11:55:00,276,2,1857.83,1755.97,3613.8,1755.97
14988,Can't Lose,2011-05-12 12:05:00,211,7,2066.6,1748.82,3815.42,1748.82
13648,Can't Lose,2010-11-04 14:46:00,400,8,1759.07,1743.85,3502.92,1743.85
13156,At Risk,2010-11-19 13:09:00,385,3,1586.54,1734.3,3320.84,1734.3
17862,Can't Lose,2011-01-20 12:23:00,323,4,1279.09,1722.98,3002.07,1722.98
15381,Can't Lose,2011-05-10 11:55:00,213,5,1890.57,1719.9,3610.47,1719.9
18009,Can't Lose,2011-04-18 13:36:00,235,8,2155.83,1692.98,3848.81,1692.98
12960,At Risk,2010-10-22 09:31:00,413,4,1322.07,1668.39,2990.46,1668.39
15751,Can't Lose,2010-09-05 12:44:00,460,11,1380.44,1661.65,3042.09,1661.65
14304,At Risk,2011-05-01 11:50:00,222,3,1725.01,1660.52,3385.53,1660.52
17851,Can't Lose,2010-10-13 15:13:00,422,6,1563.34,1657.8,3221.14,1657.8
16275,At Risk,2011-05-27 12:41:00,196,3,2151.11,1652.57,3803.68,1652.57
14256,Can't Lose,2011-03-24 13:17:00,260,5,2473.99,1652.32,4126.31,1652.32
15944,Can't Lose,2011-03-08 10:33:00,276,4,2164.24,1645.35,3809.59,1645.35
12926,At Risk,2010-10-24 15:57:00,411,4,1548.08,1641.62,3189.7,1641.62
18286,At Risk,2010-08-20 11:57:00,476,2,1246.43,1640.94,2887.37,1640.94
17853,At Risk,2010-10-28 15:29:00,407,3,1608.19,1634.2,3242.39,1634.2
16087,Can't Lose,2010-11-15 16:44:00,389,5,1739.92,1633.29,3373.21,1633.29
13154,At Risk,2010-11-05 16:00:00,399,3,1624.84,1619.57,3244.41,1619.57
15456,Can't Lose,2011-03-01 13:51:00,283,10,2119.27,1617.9,3737.17,1617.9
17499,At Risk,2011-02-23 09:14:00,289,2,1341.39,1615.72,2957.11,1615.72
16619,Can't Lose,2011-03-21 08:18:00,263,4,1938.33,1612.26,3550.59,1612.26
15439,At Risk,2010-10-31 10:38:00,404,4,1269.05,1595.75,2864.8,1595.75
13753,At Risk,2011-02-25 12:48:00,287,4,2094.57,1595.71,3690.28,1595.71
14136,Can't Lose,2010-11-04 11:53:00,400,5,1570.81,1587.38,3158.19,1587.38
15279,Can't Lose,2010-12-20 10:48:00,354,5,1580.54,1580.26,3160.8,1580.26
13202,Can't Lose,2010-11-10 16:24:00,394,7,1580.3,1575.18,3155.48,1575.18
14220,At Risk,2011-04-06 13:23:00,247,4,1515.0,1565.94,3080.94,1565.94
14130,At Risk,2011-01-24 16:05:00,319,4,1882.67,1564.83,3447.5,1564.83
16256,At Risk,2011-03-18 12:18:00,266,3,1579.37,1558.37,3137.74,1558.37
13360,At Risk,2010-10-04 12:37:00,431,4,1503.65,1557.63,3061.28,1557.63
12733,At Risk,2011-04-19 16:19:00,234,4,2424.02,1548.91,3972.93,1548.91
15658,Can't Lose,2011-06-02 15:22:00,190,8,2423.47,1535.59,3959.06,1535.59
16823,Can't Lose,2011-04-26 15:00:00,227,7,2260.09,1527.46,3787.55,1527.46
14920,At Risk,2011-05-11 10:32:00,212,3,1607.17,1526.91,3134.08,1526.91
13443,Can't Lose,2010-09-17 12:31:00,448,6,1276.37,1526.04,2802.41,1526.04
15167,Can't Lose,2011-01-23 12:41:00,320,5,1659.67,1520.89,3180.56,1520.89
16883,Can't Lose,2011-06-05 12:51:00,187,19,2396.59,1513.31,3909.9,1513.31
16725,Can't Lose,2011-02-10 16:52:00,302,13,1880.66,1511.56,3392.22,1511.56
15422,Can't Lose,2011-01-20 16:17:00,323,7,1619.97,1508.11,3128.08,1508.11
13762,Can't Lose,2011-05-05 09:15:00,218,5,2472.48,1502.49,3974.97,1502.49
15580,Can't Lose,2010-11-28 11:00:00,376,8,1381.19,1495.86,2877.05,1495.86
12873,At Risk,2011-03-02 14:58:00,282,3,2027.3,1464.34,3491.64,1464.34
16124,Can't Lose,2011-01-26 14:45:00,317,4,1772.49,1453.41,3225.9,1453.41
16167,Can't Lose,2010-10-21 15:33:00,414,5,1386.12,1428.41,2814.53,1428.41
15326,Can't Lose,2011-01-10 11:38:00,333,5,1700.52,1426.42,3126.94,1426.42
16096,Can't Lose,2011-03-20 13:38:00,264,4,1584.97,1407.04,2992.01,1407.04
16714,At Risk,2011-01-26 13:46:00,317,3,1514.8,1388.13,2902.93,1388.13
17165,Can't Lose,2011-02-28 16:39:00,284,6,1794.32,1381.37,3175.69,1381.37
13561,Can't Lose,2011-05-08 12:39:00,215,11,1820.72,1377.48,3198.2,1377.48
14896,Can't Lose,2011-05-19 10:20:00,204,8,2092.42,1366.12,3458.54,1366.12
17908,Can't Lose,2010-12-01 11:45:00,373,5,1411.54,1348.1,2759.64,1348.1
17978,Can't Lose,2010-12-09 14:05:00,365,4,1461.76,1346.76,2808.52,1346.76
16037,Can't Lose,2011-03-15 09:13:00,269,5,1509.34,1346.45,2855.79,1346.45
15607,Can't Lose,2011-01-07 12:44:00,336,9,1708.97,1343.94,3052.91,1343.94
14000,Can't Lose,2011-05-12 16:50:00,211,5,2046.34,1343.23,3389.57,1343.23
13800,At Risk,2011-02-03 12:27:00,309,3,1679.56,1341.08,3020.64,1341.08
14114,Can't Lose,2011-03-11 09:42:00,273,7,1364.09,1338.55,2702.64,1338.55
18220,Can't Lose,2011-04-27 09:03:00,226,6,1921.76,1328.3,3250.06,1328.3
14821,Can't Lose,2010-12-08 08:43:00,366,7,1286.45,1327.78,2614.23,1327.78
17150,Can't Lose,2010-11-28 11:27:00,376,6,1375.65,1296.87,2672.52,1296.87
14489,At Risk,2011-05-16 14:51:00,207,4,1574.93,1289.9,2864.83,1289.9
